date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:18	22481/22481	---MCZ	200	added ('OK')	text/html	etag:W/%227c561a65bd70352967fa74e634edfb73%22	https://western.instructure.com/login/canvas	C:/My%20Web%20Sites/canvas/western.instructure.com/login/canvas.html	(from )
11:28:18	173/173	---M-Z	200	added ('OK')	text/plain	etag:%22d3-60f39de284ec0-gzip%22	https://western.instructure.com/robots.txt		(from )
11:28:19	2615/2615	---MCZ	200	added ('OK')	text/css	etag:W/%22fadc1d21b6dbcfa8287ccea7ce708f3b%22	https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/no_variables/bundles/fonts-6ee09b0b2f.css	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/brandable_css/no_variables/bundles/fonts-6ee09b0b2f.css	(from https://western.instructure.com/login/canvas)
11:28:19	22142/22142	---M--	200	added ('OK')	image/png	etag:%225c8dc0ae33cede84318b8076fee3dd78%22	https://instructure-uploads.s3.us-east-1.amazonaws.com/account_145020000000000001/attachments/30448/western_logo_stack_RGB_rev_fotter1.png	C:/My%20Web%20Sites/canvas/instructure-uploads.s3.us-east-1.amazonaws.com/account_145020000000000001/attachments/30448/western_logo_stack_RGB_rev_fotter1.png	(from https://western.instructure.com/login/canvas)
11:28:20	3455/3455	---MCZ	200	added ('OK')	text/css	etag:W/%220fc3f668e74c8ecba1330b5ab32adc9a%22	https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/d2dec38987a17fd406979af49817304b/variables-7dd4b80918af0e0218ec0229e4bd5873.css	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/brandable_css/d2dec38987a17fd406979af49817304b/variables-7dd4b80918af0e0218ec0229e4bd5873.css	(from https://western.instructure.com/login/canvas)
11:28:20	379092/379092	---MCZ	200	added ('OK')	text/css	etag:W/%22ea1b2846c6cce3f07b5d81b18f9f3957%22	https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_normal_contrast/bundles/common-b1b03d3683.css	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_normal_contrast/bundles/common-b1b03d3683.css	(from https://western.instructure.com/login/canvas)
11:28:20	8800/8800	---MCZ	200	added ('OK')	text/css	etag:W/%22c774e9e28344918e2662c95fee2fd42d%22	https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_normal_contrast/bundles/login-a4ed1b59a8.css	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_normal_contrast/bundles/login-a4ed1b59a8.css	(from https://western.instructure.com/login/canvas)
11:28:21	3431/3431	---M--	200	added ('OK')	text/css	etag:%22d260d2dd4ae9f05e3f3646ae743e05e4%22	https://instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/742704/canvas_login.css	C:/My%20Web%20Sites/canvas/instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/742704/canvas_login.css	(from https://western.instructure.com/login/canvas)
11:28:21	11506/11506	---MCZ	200	added ('OK')	text/css	etag:W/%225d88de203621f89ec5a79b78b99974a8%22	https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_normal_contrast/bundles/what_gets_loaded_inside_the_tinymce_editor-a64c7fe33c.css	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_normal_contrast/bundles/what_gets_loaded_inside_the_tinymce_editor-a64c7fe33c.css	(from https://western.instructure.com/login/canvas)
11:28:21	11499/11499	---MCZ	200	added ('OK')	text/css	etag:W/%224711c9a9f1d469041d6a42388e8a5f91%22	https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_high_contrast/bundles/what_gets_loaded_inside_the_tinymce_editor-fa0672d544.css	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/brandable_css/new_styles_high_contrast/bundles/what_gets_loaded_inside_the_tinymce_editor-fa0672d544.css	(from https://western.instructure.com/login/canvas)
11:28:21	3349/3349	---MCZ	200	added ('OK')	text/javascript	etag:W/%2220fe13bda3a974c313cbe8aedd133a63%22	https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/d2dec38987a17fd406979af49817304b/variables-7dd4b80918af0e0218ec0229e4bd5873.js	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/brandable_css/d2dec38987a17fd406979af49817304b/variables-7dd4b80918af0e0218ec0229e4bd5873.js	(from https://western.instructure.com/login/canvas)
11:28:21	2573/2573	---MCZ	200	added ('OK')	text/javascript	etag:W/%228413fb72b718506c6169515d55563ae3%22	https://du11hjcvx0uqb.cloudfront.net/dist/timezone/America/Denver-8b016888d3.js	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/timezone/America/Denver-8b016888d3.js	(from https://western.instructure.com/login/canvas)
11:28:22	633/633	---M-Z	200	added ('OK')	text/javascript	etag:%22c63f32502584e7344eeed4c17ac8141d%22	https://du11hjcvx0uqb.cloudfront.net/dist/timezone/en_US-80a0ce259b.js	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/timezone/en_US-80a0ce259b.js	(from https://western.instructure.com/login/canvas)
11:28:22	2818857/2818857	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e7e3d33a43398f78a6291a4f29052ebe%22	https://du11hjcvx0uqb.cloudfront.net/dist/webpack-production/main-e-6394b1839a.js	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/webpack-production/main-e-6394b1839a.js	(from https://western.instructure.com/login/canvas)
11:28:23	13970/13970	---M--	200	added ('OK')	image/png	etag:%22e05610a0fd26cbd956530f67fac73a3c%22	https://instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/2142/header_institution.png	C:/My%20Web%20Sites/canvas/instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/2142/header_institution.png	(from https://western.instructure.com/login/canvas)
11:28:24	13890/13890	---M--	200	added ('OK')	image/png	etag:%2236b962723585a9dfbc352e07e19a7bed%22	https://instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/602/western_logo.png	C:/My%20Web%20Sites/canvas/instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/602/western_logo.png	(from https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/d2dec38987a17fd406979af49817304b/variables-7dd4b80918af0e0218ec0229e4bd5873.css)
11:28:24	13890/13890	---M--	200	added ('OK')	image/png	etag:%2236b962723585a9dfbc352e07e19a7bed%22	https://instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/133442/western_logo.png	C:/My%20Web%20Sites/canvas/instructure-uploads.s3.amazonaws.com/account_145020000000000001/attachments/133442/western_logo.png	(from https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/d2dec38987a17fd406979af49817304b/variables-7dd4b80918af0e0218ec0229e4bd5873.css)
11:28:24	7882/7882	---M--	200	added ('OK')	image/png	etag:%22eda8889e7b1b3bce2070a5cad43bbd75%22	https://du11hjcvx0uqb.cloudfront.net/dist/images/windows-tile-eda8889e7b.png	C:/My%20Web%20Sites/canvas/du11hjcvx0uqb.cloudfront.net/dist/images/windows-tile-eda8889e7b.png	(from https://du11hjcvx0uqb.cloudfront.net/dist/brandable_css/d2dec38987a17fd406979af49817304b/variables-7dd4b80918af0e0218ec0229e4bd5873.css)
